Name,Latitude,Longitudes
Suleman Mulla Hospital,19.2038723,72.9823534
Soham Hospital Dr Thakker SV,19.209529,72.9772666
Madhavbaug Clinic- Uthalsar,19.2025529,72.9778212
Metropol Multispeciality Hospital,19.2358837,72.97556260000002
"Madhavbaug Clinic - Vartak Nagar, Thane",19.2068253,72.9643832
Gurukrupa Hospital,19.2010154,72.9739737
Aditi Hospital,19.2192169,72.978416
QI Spine Clinic,19.2178659,72.9789775
Balaji Hospital,19.2164052,72.9792476
Currae Specialty Hospital,19.2172025,72.9806219
Krishna Hospital,19.222396,72.97755029999999
Apollo Medical Centre,19.22380919999999,72.97939629999999
Aditya Hospital and ICU,19.2109773,72.9797459
Dr Vijay Kulkarni,19.21096,72.9796768
Mamta Hospital,19.2022053,72.9760115
DR SATISH NAGARGOJE'S MANAS CLINIC,19.2086133,72.9737348
Dr. Padaki's Homeopathic Clinics,19.2088108,72.9834017
Madhavbaug Cardiac Rehab Centre,19.2240388,72.9679738
Manas Hospital,20.8853089,76.2035081
Vedansh Ayurveda,20.8872474,76.20088489999999
MAHARASHTRA MEDICAL,20.890322,76.1928621
ASHIRWAD Hospital,20.8836006,76.2021132
"Sub District Hospital, Malkapur",20.884204,76.203582
Vighnaharta Balrugnalaya,20.885255,76.2028
Dr.krushna Patil Manas Pathology lab,20.8852275,76.2033604
Navoday Hospital,20.885114,76.2035629
Manas pathology lab chalis bigha malkapur,20.8855366,76.20325559999999
Dr. Kabra's Health Care,20.8857564,76.2029609
श्रद्धा हॉस्पिटल (डॉ. राजेंद्र फिरके) Shraddha Hospital,20.8855542,76.20373239999999
Sradhha Hospital,20.8855589,76.20378600000001
Dr. B V Patil Dental Clinic,20.884904,76.2043248
Aishwarya Imaging Centre and Eye Hospital,20.88527819999999,76.20419470000002
Dr. Suvarna Khangar Ayurvedic Clinic (Panchakarma Yogachikitsa),20.8841232,76.2045521
deshmukh hospital,20.8832674,76.2042445
New Satwik Medico,20.8843435,76.2046141
Dr Ritesh Kela,20.8830727,76.20412979999999
Onkar Hospital,20.8859724,76.20368719999999
Hospital,18.7590608,73.479252
Shree Wamanrao D. Gujar,18.7631153,73.40900839999999
Manas Hospital,18.7444985,73.413772
Aai Ekvira Aurvedik Aushdhalay,18.7621163,73.4525565
ROYAL CHEMIST,18.7552105,73.4445392
Nityaseva Hospital,18.7552105,73.4445392
Dr Shaikh Clinic,18.7552105,73.4445392
Saisri Hospital,18.7552105,73.4445392
Dr. Chetan Unadkat,18.7604638,73.47040539999999
Atmasantulana Village Ayurveda,18.7541247,73.4680851
Ekvira Hospital,18.7782648,73.4713417
Dr Kakkars Comprehensive Physiotherapy & Rehabilitation Centre,18.7572151,73.4303548
Dr KV PATHAK GURU AAYURVEDIC HOSPITAL,18.7615049,73.4792306
Guru Ayurved Hospital And Research Centre,18.7614931,73.4793067
NITYASEVA MULTISPECIALITY HOSPITAL,18.7619381,73.4804855
Sanjeevni Clinic,18.7614208,73.4804953
"Primary Health Centre, Karla",18.7571469,73.48242929999999
Z. P. Hospital,18.757097,73.4824246
Yashvi Hospital,18.7589604,73.4236117
Yash Hospital,18.7586188,73.4231178
Sahara Vyasan Mukti Kendra Rehabilitation Center,19.9300464,73.8366075
Sant Krupa Multi Speciality And Accident Hospital,19.925521,73.83370099999999
Dr Lodha's Ayurved And Panchakarma Hospital,19.9255484,73.83356479999999
Jairam Hospital,19.9511241,73.838539
Shivkrupa Hospital,19.9251019,73.87852339999999
Chakrapani health care,19.9260083,73.8757955
Arogya Upkendra,19.9263012,73.87387199999999
Dr. Gupta Hospital,19.9280422,73.87128229999999
Shinde palse multispecialist hospital,19.9154376,73.8968251
Samarth Clinic,19.91698,73.89974699999999
Hospital,19.9367915,73.8564887
Dr.Ganesh Naturopathy,19.9169101,73.9005767
Chintamani hospital haad specialist,19.9377328,73.8558126
Ganraj Sankul,19.935751,73.85413969999999
chintamani hospital,19.9388878,73.8556784
Mauli Hospital,19.9191507,73.9032617
Hospital,19.94978219999999,73.858671
Sanvedna Deaddiction Center,19.9381912,73.84737919999999
Samarth Clinic,19.9441414,73.8503789
Samarth Clinik Naisrgik Upchar Kendra.,19.9440629,73.8497392
Mauli Hospital माउली हॉस्पिटल,18.4274688,73.981489
Shinde Hospital,18.429643,73.9789114
Shreenath Hospital,18.4322325,73.9788109
Dr Sunil Bandal clinic,18.4403271,73.98517650000001
Anandi Homeopathic Clinic,18.4408586,73.9821958
VIGHNAHARTA CLINIC,18.4405159,73.98485649999999
Chintamani Hospital,18.4403577,73.9750009
Sanjivani Hospital,18.4404902,73.97494259999999
Nitya Seva Hospital,18.440956,73.974839
Chintamani multispecialist hospital,18.442556,73.97414959999999
Sant Sopabkaka Hospital,18.44599,73.982458
Shreenath hospital,18.4457937,73.9708469
Gaikwadwadi Smshanbhumi,18.4524243,73.98164140000002
हाड वैद्य,18.4569177,73.96773089999999
Parnkuti Ayurvedic Research Centre,18.4060592,73.9551777
Primary Health Sub Centre,18.4532231,73.9579271
"Shree Sai Clinic,urali Phata",18.4589687,73.96536689999999
Suratkar clinic,21.113813,76.6940214
Late Rajiv Gandhi Hospital,21.121085,76.72900299999999
"Veterinary Hospital, Tunki",21.1115311,76.69345229999999
Government hospital,21.1216032,76.7325706
Primary Health Centre,21.1214992,76.7326963
Parishram Comlex,21.1113879,76.6918003
Dr.Patel Clinic,21.1089961,76.6929603
Mauli Hospital,21.1089762,76.6923344
"DR.NILESH GHANOKAR ,BHAKTIVEDANT HOSPITAL",21.1229363,76.7382275
YASHWANT CLINIC,21.1249253,76.7398352
Kutumb by Naiknavare: Inter-Generational Community,18.7276999,73.6424522
Harneshwar Multispeciality Hospital,18.7332918,73.66486429999999
Ruby Hall,18.7240037,73.6344869
Sevadham Hospital,18.7328339,73.6712731
Pawar Hospital,18.7328246,73.6773419
Lifeline Multispeciality Hospital Talegaon Pune,18.7333524,73.678497
"Madhavbaug Clinic - Talegaon, Pune",18.7308275,73.67841349999999
SUSHRUT E.N.T. HOSPITAL & DR KHAN'S RESEARCH CENTRE,18.7339242,73.6842247
Shaishav - Mulanche Hospital,18.7172436,73.6791118
Matoshri Hospital,18.7374462,73.6390832
Narendra Chahy Electronic,18.7372309,73.63932799999999
Shreya Optics,18.73967589999999,73.6392247
Gurukrupa Multipathy Multispeciality Hospital & Infertility Clinic,18.7403018,73.6380721
Shree Lahan Mulanche Clinic,18.7405877,73.6381653
