Name,Latitude,Longitudes
Rabodi Police Station,19.2101176,72.9820877
Chitalsar Manpada Police Station,19.2313488,72.9762014
Anti Corruption Bureau,19.1986008,72.9815435
Kalwa Police Station,19.1976497,72.9819926
Police Thane Shahar,19.1972646,72.9806941
"Office Of Superintendent Of Police, Thane",19.1968975,72.9816433
Office of the Commissioner of Police,19.196448,72.98334659999999
Police Ayuktalay Karyalaya - Thane West,19.19604649999999,72.98089159999999
Vartak Nagar Police Station,19.2131787,72.9628005
Kapurbawdi Police Station,19.2161819,72.9788951
majiwada traffic police chowki,19.2119647,72.9774375
Anand Dighe Police Station,19.2236926,72.97179369999999
Padgha Police Station,19.2101293,72.9820785
Police Chouki,19.2053936,72.9772409
Balkum police station,19.2221266,72.9912915
police station,19.2052645,72.9773491
Police station .,19.2057799,72.9829829
Manorama Nagar Police Chowki,19.2329936,72.980723
POLICE AREA,19.216128,72.9585262
City Police Station,20.8886252,76.2055171
Lonavala Gramin Police Station,18.7575204,73.4089656
Lonavla Ghat,18.7614709,73.422052
Kusgaon Sinhgad Police Station,18.7348528,73.42662709999999
Lonavala City Police Chauki,18.7458513,73.4158745
Sub Divisional Police Office (SDPO),18.7575822,73.40912469999999
Lonavala Rural Police Station,18.7574619,73.40904379999999
Sunil Gaidhani,19.9219733,73.86345949999999
Vilas ujagare,19.9587617,73.8544299
Police chowki,19.9484031,73.8411196
police station,19.9484575,73.8411512
Samruddha Gurukul Career Academy,18.4165808,73.97366749999999
Uruli Dewachi Police Station,18.4579212,73.9662179
Police Station Sonala,21.1219577,76.7274535
Police Station Vadgaon Maval,18.74140149999999,73.6345233
Talegaon Police Station,18.7326644,73.6740344
Police Station Talegaon,18.714293,73.677325
wireless police station,18.7446414,73.62930419999999
Police Help Post,18.7138309,73.6466296
CRPF Pune,18.72351429999999,73.6606047
Talegaon Dabhade Traffic Police Chowky,18.7327591,73.67470999999999
Police,18.6966777,73.6582169
"Police Station,Amboli",15.9623847,73.99689579999999
Amboli Checkpost,15.9622225,73.996687
Mahad Taluka Police Station,18.0830855,73.4335553
Mahad MIDC Police Station,18.0985045,73.4637054
Mahad city police station,18.0792658,73.4154925
"Traffic Police Check Post, Mahad",18.07624479999999,73.4068013
Karad Taluka Police Station,17.2795733,74.1819423
Karad City Police Station,17.2785076,74.1803863
Maharashtra Police Quarters,17.2724382,74.1879202
"DYSP Office, Karad",17.2794493,74.181823
Karad Traffic Police Station,17.2823875,74.182356
"Varunji Phata (वारुंजी फाटा, कराड)",17.2828318,74.1711014
महामार्ग पोलीस ठाणे,17.2618391,74.1772819
Rajdhani acadmy satara,17.3054245,74.1836316
Police Station Naldrug,17.8160158,76.283519
Traffic police station naldurg,17.8173654,76.2701653
"खंडोबा रस्ता, (चिकुंद्रा)",17.8174058,76.2694209
Police Station Paldhi,21.0173342,75.4628637
Traffic Police Station,21.0191634,75.4419654
Kamshet Police Station,18.762418,73.5590254
Speed gun camera,18.7293455,73.5399387
Police Station Wadgao Maval,18.7572737,73.595052
SPEED CAM MPEH,18.7261318,73.54440799999999
Dehu Road Police Station,18.6860605,73.7215585
ACP Police Dehuroad Division office,18.69311489999999,73.71356279999999
Police station,18.6785784,73.73352849999999
Dehugav Officer Cabin; Api Atigre,18.6859886,73.7215204
Talegoan - Dehuroad Traffic police Department,18.6863789,73.7209615
Friend Of Traffic Police Office,18.6729184,73.7793338
Nigdi Police Station,18.6619995,73.77194879999999
Traffic Police Office Nigadi,18.6610583,73.7729595
Traffic Section Office nigdi,18.6610376,73.7729604
Pradhikaran Police Chowki,18.6620897,73.7741965
Pimpri Chinchwad Police Headquarter,18.6614235,73.7735646
Rupee Nagar Police Chowki,18.6747413,73.7829081
Police Station Yamunanagar,18.666074,73.782358
Akurdi Police Chowki,18.6508096,73.7669971
Police Chowki,18.7012107,73.7880957
Ravet Police station,18.6418591,73.7554648
Police Station Naldrug,17.8160158,76.283519
Traffic police station naldurg,17.8173654,76.2701653
"खंडोबा रस्ता, (चिकुंद्रा)",17.8174058,76.2694209
Sant Tukaram Nagar Police Station,18.6240313,73.81833309999999
Pimple Saudagar Village Police Station,18.6015789,73.7993667
Kasarvadi Police Station,18.6112224,73.82376599999999
Bhosari Vahatuk Vibhag,18.61265599999999,73.824275
Vallbhanagar ST Parcel Office,18.6150614,73.81661799999999
Bhosari Police Station,18.6186234,73.8268013
New Sangvi Police Station,18.591885,73.81788999999999
Landewadi Police Station,18.620856,73.83884100000002
Vichumbe Police Chowky,18.9864143,73.130025
Police Station,18.9884713,73.120407
Shivaji Chowk Police Chowky,18.98766059999999,73.112171
police CHS,18.9584947,73.1332147
Highway Traffic Police Station,18.9674122,73.1321978
Palaspe Phata Police Chowky,18.968179,73.1320046
Police Chowki Kon Fata,18.9586555,73.15125479999999
JNPT exit Panvel,18.9555388,73.1553388
City Police Chowki,18.9757787,73.1062421
Sahyadri Krida Academy,18.9893751,73.117603
Sangharsh Career Academy,18.9906625,73.11782509999999
Dcp Zone 2 office panvel,18.9935211,73.10794410000001
