"Sr.
No.",Location of Black Spot,Latitude,Longitude,,,,,,,,,
,,31.4886,74.7839,,,,,,,,,
1,Chabbal Chowk,31.4087,74.945,,,,,,,,,
2,DC Office Tarn Taran,31.2885,74.9472,,,,,,,,,
3,Sarhali Kalan Patti Cut,31.3074,74.6687,,,,,,,,,
4,Near     Village     Algon Kothi,31.3916,74.5521,,,,,,,,,
5,"Near                    Village
Manochahal Kalan",31.4714,74.9314,,,,,,,,,
6,Near Molsari Resort,31.3034,74.9512,,,,,,,,,
7,"Near                     Village
ThathinaMahantan",31.3926,"7,47,228",,,,,,,,,
8,Near Village Sur Singh,31.4164,74.9419,,,,,,,,,
9,Near Rasul Pur Canal,31.4828,74.9563,,,,,,,,,
10,Near Village Kadgill,31.5092,74.8958,,,,,,,,,
11,Near       Golden       Leaf Resort,31.4462,74.9398,,,,,,,,,
12,Goindwal Bye Pass,31.202,74.955,,,,,,,,,
13,Near Village Marhana,31.2488,74.9498,,,,,,,,,
14,Near Khara Canal,31.4295,74.937,,,,,,,,,
15,Near  Gurudwara  Hajara Singh Ji,31.2612,74.8121,,,,,,,,,
16,Patti Morh Chowk,31.4255,74.9387,,,,,,,,,
17,Near Village Aladinpur,31.2737,74.9451,,,,,,,,,
18,Near    Village    Sarhali Kalan,31.2222,74.9541,,,,,,,,,
19,Near Village Nathupur,31.4652,74.9352,,,,,,,,,
20,Near Jandiala Chowk,,,,,,,,,,,
