"Sl
No.",NH,District,PS,Black Spot name and location,Latitude,Longitude
1,NH-2,Burdwan,Burdwan(S),"Burdwan (S) Palh, Sreerampur more, Burdwan(s), Nabahat to DVC more 3 Km",22.7505213,88.3405772
2,NH-2,Burdwan,Galsi,"Khana Junction more, Surul more to Kulgeria Sako
3Km",23.3215406,87.7689551
3,NH-2,Burdwan,Kanksa,"Panagarh Bazar -  Railover Bridge to Derjeeling More
3.2 Km",27.0410218,88.2662745
4,NH-34,Murshidabad,Berhampore,Panchanantala-Madhupur to Chuapur 2 Km,24.0959042,88.27041179999999
5,NH-2,Hooghly,Panchghora,Panchghora,22.408334,88.4488677
6,NH-34,Malda,English Bazar PS,Sukanta More,25.0107571,88.1408812
7,NH-34,Malda,English Bazar PS,Rathbari Crossing,25.0045795,88.1358491
8,NH-34,Murshidabad,Beldanga,"Barua Crossing, Pratirodhi Club to Beldanga Hut 200 Mtrs.",23.9358993,88.25146509999999
9,NH-34,Burdwan,Kaliganj,"Katwa More,  Vagachandpur more to Radhakantapur more 6 Kms.",23.6403783,88.1299373
10,NH-6,Paschim Medinipur,Kharagpur,"Basantapur, Basantapur 1 1/2 Kms.",22.34601,87.2319753
11,NH-6,Purba Medinipur,Kolaghat PS,"Deaulia Bazar, Borda more to Haldia more 1 1/2 Kms.",22.0627164,88.0832934
12,NH-34,Uttar Dinajpur,Karandighi,"Purnia More-, Dalkhola to Purnia More",25.8754466,87.84358879999999
13,NH-34,Nadia,Nakashipara,Jugpur,23.5795786,88.40402910000002
14,NH-2,Burdwan,Andal,Kajora area Hospital,23.5981577,87.1824196
15,NH-2,Burdwan,Durgapur,Gandhi More,23.5396691,87.288564
16,NH-2,Hooghly,Dankuni,"Dankuni More/Maitypara, Durgapur Expressway    1 1/2 Km",23.1407177,88.04404559999999
17,NH-2,Hooghly,Dankuni,"F.C.I. Crossing, Dankuni more to Maitypara    1 1/2 Kms.",22.6809296,88.29701419999999
18,NH-6,Howrah,Sankrail,"Dhulagarh Xing, New korola to Dhulagarh Toll Plazza 200 Mts.",22.5738343,88.1779182
19,NH-6,Howrah,Domjur,"Ankurhati Xing, Prasastha to Ankurhati Anchal  1 Km.",22.6133398,88.2485521
20,NH- 31D,Jalpaiguri,Kotwali PS,"Teesta Bridge, Paharpur to Assam More Talmahat, Teesta bridge to Talmahat    20 Km",24.6174342,85.207537
21,NH-34,Murshidabad,Berhampore,"Girja More Crossing- ,Ramendrasundar Setu to Jalangi Bus Stand 1 1/2 Km",24.125265,88.6936355
22,NH-41,Purba Medinipur,Nandakumar,"Kanchi,  Hatgeria to Bankrabandh  1 1/2 Kms.",12.818456,79.6946586
23,NH-34,Nadia,Chakdaha,"Chakdah Chowrastha More,  Kalagachha to Chakdah Chowrastha more 3 Kms.",23.0765247,88.5293319
24,NH-31,Coochbehar,Kotwali,"Khagrabari More,  Khagabari chowpathi to Girijabari more",26.3504353,89.4434862
25,NH-34,North24Pgs,Barasat,"Doltala  Xing,  Sahara Bridge to Madhyamgram 1 1/2 Kms.",22.6957706,88.4559641
26,"NH-34
& 35",North24Pgs,Barasat,"Duk-Bunglow More xing, Rathtala to Dukbanglow more 1/2 Km.",22.7113122,88.47551349999999
27,NH-35,North24Pgs,Barasat,"Champadali more, Sethpukur more to Fish Market more 1/2 Kms.",22.7207451,88.4857941
