S.No.,Black Spot,Simple Crashes,Fatal Crashes,Total Crashes,Penons Injured,Penons Killed,Name Of The Road,Latitude,Longitude
1,Bhalswa SChowk,3,8,II,3,8,Outer Ring Road,28.755097,77.16044389999999
2,Punjabi Bagh Chowk,II,7,18,16,7,Ring Road,28.6735407,77.1403107
3,Mukarba Chowk,II,7,18,15,7,Outer Ring Road,28.736791,77.160202
4,Zakhira Flyover,10,6,16,16,6,New Rohtak Road,28.6678468,77.1668583
5,Libaspur Bus Stand,10,6,16,14,6,GTK Road,28.7508636,77.1459998
6,Mukund Pur Chowk,7,6,13,12,6,Outer Ring Road,28.732265,77.183931
7,Moti Bagh Flyover,7,5,12,15,5,Ring Road,28.5783556,77.1761739
8,Nangl i Poona,4,5,9,5,5,GTK Road,28.7715569,77.14608480000001
9,Siraspur,2,5,7,3,5,GTK Road,28.7590483,77.1305634
10,Shastri Park/It Park,21,4,25,22,4,Grand Trunk Road,28.669894,77.2554657
