"S.
No.",Name of the District,"Juridiction/ Police
Station","Location of accidents
including chainage (km",NH No.,"No. of
fatalities","Reasons for frequent
accidents",Latitude,Longitude,,,
1,Thane/Manor,,Kude to Sativali,8,46,Chowk Zig Zag Road,19.2183307,72.9780897,,,
2,Thane/Ghoti,,Old kasara Ghat,3,46,S Curve and Steep Slope,19.67 ,73.48,,,
3,Satara/Karad,,Malkapur,4,40,Steep Slope,20.8843273,76.2026077,,,
4,Pune/Khandala,,Waksai,4,36,Narrow Road,18.7650014,73.4538314,,,"19.925286419318752, 73.87735703425527"
5,Jalgaon/Paldhi,,Serve Town Chowk,6,36,Road Junction,19.92528642,73.87735703,,,
6,Jalgaon/Paldhi,,Wadjai Nala,6,32,Narrow Bridge,18.427468,73.981253,,,
7,Thane/Manor,,Saykhed Hawali,8,32,Sharp Curve,21.1431031,76.7047904,,,
8,Pune/Wadgaon,,Wadgaon Fata,4,27,"Sharp Curve& Narrow
Road",18.7372002,73.6389598,,,
9,Satara/Karad,,Kashil,4,26,Steep Slope,17.4814027,74.086555,,,
10,Thane/Shahapur,,Kalambe,3,26,"Sharp Curve& Steep
Slope",17.7292364,73.939656,,,
11,Thane/Charoti,,Amboli,8,22,Road Crossing Junction,15.9647156,74.0035709,,,
12,Raigad/Mahad,,Sukeli Phata,17,22,Steep Slope and Curve,18.0820208,73.422441,,,
13,Satara/Karad,,Masur Fata,4,21,Chowk on Sharp Curve,17.277693,74.1843535,,,
14,Osmanabad/Naldurga,,Naldurga Ghat,9,19,"Narrow Bridge , Steep
Slope and Curve",17.8166677,76.2739795,,,
15,Jalgaon/Paldhi,,Eklagna Gaon,6,18,Narrow Bridge,17.587452,75.3936808,,,
16,Jalgaon/Paldhi,,Avtar Dhaba,6,18,Narrow Bridge,21.0245349,75.4548646,,,
17,Thane/Shahapur,,Umbarmali,3,17,Railway Over Bridge,19.6283318,73.4229515,,,
18,Pune/Wadgaon,,Kamshet,4,17,Sharp Curve and Chowk,18.761137,73.5572055,,,
19,Thane/Charoti,,Warwada,8,15,Chowk,18.2266307,76.3695167,,,
20,Pune/Vadgaon,,"Center Chowk(Dehu
Road)",4,15,"Narrow Junction &
Chowk",18.6860277,73.7477142,,,
21,Nagpur/Ramtek,,Vadoda,6,13,T' Junction,21.1303534,79.322614,,,
22,Osmanabad/Naldurga,,Malup Shivar,211,12,"Sharp Curve Narrow
Bridge",17.8166677,76.2739795,,,
23,Kolhapur/Ujalaiwadi,,Topgaon to Kasar Wadi,4,11,T' Junction and Steep Slope,18.6060873,73.8227917,,,
24,Raigad/Palaspe,,Jeetegaon,17,10,Sharp Curve,18.9535078,73.1290596,,,
25,Buldhana/Malkapur,,Dasarkhed,6,9,Sharp Curve,20.9608756,76.1841701,,,
