"S
No.",Polic e BS No.,Name of Distt.,Name of Police Station,"No of NH
road",name of the location place,Limits high accident prone Location,Unnamed: 7,Number of Accident,Unnamed: 9,Unnamed: 10,Unnamed: 11,Number of fatalities,Unnamed: 13,Unnamed: 14,Unnamed: 15,Latitude,Longitude
1.0,247.0,JODHPUR,DANGIYA WAS,NH- 112,DATIWARA BHOMIYAJI THAN TO BISALPUR FANTA,"88.400
KM","88.900
KM",3.0,1.0,4.0,8,1.0,1.0,4.0,6,14.8073777,74.129898
2.0,248.0,JODHPUR,MANDOR E,NH- 62,MANDORE OVER BRIDGE TO NLU,2.5  KM,3  KM,1.0,2.0,2.0,5,1.0,2.0,2.0,5,26.6178272,76.3217567
3.0,249.0,JODHPUR,KARWAR,NH- 62,Netra Village to Naganaray Hotel,"265.2
KM","265.7
KM",2.0,3.0,3.0,8,2.0,5.0,3.0,10,26.6178272,76.3217567
4.0,250.0,JODHPUR,KARWAR,NH- 62,Ralawas Puliya to Chhagniram Plant,"287.7
KM","288.2
KM",5.0,2.0,1.0,8,6.0,2.0,1.0,9,,
5.0,250.0,JODHPUR,KARWAR,NH- 62,Ralawas Puliya to Chhagniram Plant,"287.7
KM","288.2
KM",5.0,2.0,1.0,8,6.0,2.0,1.0,9,19.1250919,72.8489632
6.0,252.0,JODHPUR,KUDI BHAGTA SANI,NH 62,KUDI VILLAGE PALI ROAD,10 KM,"10.5
KM",6.0,2.0,1.0,9,4.0,2.0,1.0,7,28.6746196,77.18017569999999
7.0,253.0,JODHPUR,KUDI BHAGTA SANI,NH 62,MOGRA  VILLAGE PALI ROAD,15 KM,"15.5
KM",3.0,5.0,8.0,16,3.0,5.0,8.0,16,26.3427037,73.0443233
8.0,254.0,JODHPUR,SHASTRI NAGAR,NH 62,BHERU CHORAYA,2 KM,"2. 100
KM",1.0,4.0,0.0,5,1.0,4.0,0.0,5,21.4460652,91.97586150000001
9.0,255.0,JODHPUR,SHASTRI NAGAR,NH 62,MANDORE OVER BRIDGE TO NLU,3 KM,3.5 KM,5.0,0.0,3.0,8,5.0,0.0,3.0,8,26.1803099,73.7057166
10.0,256.0,JODHPUR,RAJEEV GANDHI NAGAR,NH 125,DAMPING  STATION 12 MIL,17 KM,"17.5
KM",4.0,0.0,4.0,8,5.0,0.0,4.0,9,,
11.0,257.0,JODHPUR,Bilara,"NH 112/2
5",ljgn dkijMk,72 KM,"72.500
KM",6.0,1.0,1.0,8,12.0,1.0,1.0,14,,
12.0,258.0,JODHPUR,'ksjx<+,NH 125,ls[kkyk frjk;k,100 KM,"100.50
0 KM",3.0,3.0,1.0,7,5.0,4.0,1.0,10,,
13.0,259.0,JODHPUR,[ksMkik,NH 62,dkLVh pkSjkgk ckoMh,44.2 KM,"44.7
KM",7.0,9.0,3.0,19,6.0,10.0,4.0,20,,
14.0,260.0,JODHPUR,ckyslj,NH 125,rksyslj iqjksfgrku,"40.500
KM",41 KM,1.0,0.0,0.0,1,16.0,0.0,0.0,16,,
15.0,261.0,JODHPUR,ckyslj,NH 125,<k<f.k;ka,"60.500
KM",61 KM,1.0,0.0,0.0,1,14.0,0.0,0.0,14,,
16.0,262.0,JODHPUR,cki,NH 11,Ckki es esa dkuklj pkSjk;k    ls uks[k pkSjk;k rd,"298.600
KM",299 KM,2.0,3.0,2.0,7,3.0,2.0,2.0,7,,
