"S.
No.",Name of the District,"Juridiction
/ Police Station",Location of accidents including chainage (km to km),"NH.
No","No. of fatalities during
2011",Reasons for frequent accidents,Nature of treatment required at the specific spot/stretches,Latitude,Longitude
1,Aligarh,Kavasi,Kayampur More (125 m),92,169,Curved and narrow road and no bypass.,Construction of new bypass  going on.,24.1106069,75.3237262
2,Lucknow,Gazipur,Faizabad Road/ Ring Road (3-4 k.m.),28,24,"Wider cuts on ring road, sector 25 and people trying to cross the road at places
where there are no cuts.","High railing required in the middle of the road to dissuade people from crossing the
road",26.7729751,82.1457934
3,Mathura,Highway,"Jaigurudev Ashram (1
k.m.)",2,100,"People crossing roads without
knowledge of traffic rules","Construction of foot over bridge or under-
passes on both sides of the temple.",,
4,Kanpurnagar,Chakeri,Ramadevi Crossing,2,38,"Construction of highway and presence of 300 factories/bazar and busy road near
highway",Problem will solve after completion of Construction of over bridge,26.41141,80.3869548
5,Unnav,Kotwali,Dahi (1/2 km),25,52,"Due to industrial Area on both sides of the highway and people crossing road from anywhere in the absence of round
about or cut in the road",High railing required in the middle of the road to dissuade people from crossing the road,23.7106805,90.4089838
6,Firozabad,Usayani More,Tundala (1-1 km),2,60,"High speed driving, rash driving/no speed breaker and non-adherence to
traffic rules",Requires speed breaker/reflecting speed breaker,27.2263843,78.2425418
7,Mau,Bada Gaon,Dhosi (500 m),29,40,"High speed driving, no speed breaker
and non-adherence to traffic rules","Requires speed breaker/reflecting speed
breaker",28.8737282,77.3338783
8,Lalitpur,Mahroni,Mahroni (1 to 1.5 kms),,19,Poor condition of road/visibility,Repairing of road and need for proper lighting,24.5831479,78.7277814
9,Moradabad,Civil Lines,"PAC T. Kanth Road (1-1.5
kms)",24,44,No divider on ring road,Requires construction of divider,28.8671376,78.7480416
10,Bareilly,Faridpur,Rampura (1 to 2 kms),24,31,Bad road with heavy traffic,Construction of bridge,23.6018691,89.8333382
11,Agra,Sikandra,Sabzimandi (500 m),2,30,Due to vegetable market on highways,Sign board should be installed on Highways,26.3678114,79.6291561
12,Fatehpur,Kotwali,Gram Nauwabag (200 m),2,33,High speed/wrong side driving,Awareness of Traffic rules to general public,23.7106805,90.4089838
13,Mainpuri,Bewar,Kasba Bewar (1 km),91,48,"Damaged road, no divider",Repair of roads and construction of lane divider,27.2178783,79.2986668
14,Mahamayanagar,S.Rau,"Hussainpur Ratanpur Road
(500 m)",91,,Narrow bridge,widening of bridge.,22.2859094,82.165241
15,Bijnaur,Kiratpur,Kiratpur Road (0.5 to 1 km),,38,Dangerous turn,Required speed breaker/caution board,31.1833582,76.5693271
16,Saharanpur,Devband,Devband GT Road (1 km),,22,Narrow and bad road with heavy traffic,Repair and widening of road,29.6880187,77.6820491
17,Chitrakut,Karvi,Karvi (1 km),76,16,Narrow bridge,Widening  of bridge,,
18,Faizabad,K.Nagar,Town Area (3-4 kms),15,14,Bad road condition,Repair of roads,25.8210925,87.3962155
19,Shahajahanpur,Roza,Jumka (1.5 kms),,7,Bad condition of both sides of the road,Repair of both sides of the road,,
20,Kaushambhi,Saini,Saini (2 kms),2,23,High speed driving,"Construction of speed breakers and Installation of sign boards specifying speed
limits",,
21,Jyatibaphulenagar,Randavpur,"Sadbhavana Hotel to Janak
Puri (2 kms)",24,36,Heavy rush of pilgrims due to Temple,Lane divider and traffic signals required,28.613688,77.084075
22,Gorakhpur,"Chori
Chaura",Ramudih (1 km),28,35,"Running of heavy vehicles in no entry
area","Follow rules for entering of heavy vehicles
in no entry areas",24.4541674,86.6283557
23,Auraiya,Ajitmal,Kasba Ajitmal (2 to 2.5 kms),11,11,"Connecting roads merge on Highways and entry of vehicles suddenly on
highways",Sign board/ dividers reflecting speed breaker should be installed on Highways,26.5706587,79.3130972
24,Mirzapur,Sikiya,Adal Haat (1 km),,30,"Overloaded vehicles/bad road and heavy
traffic","Install road signages and slogans on both
sides of the roads",26.0546747,83.9717805
25,Allahabad,Soranw,"Phaphamau Tiraha (500
m)",,14,"High speed of vehicles/no speed breaker,
busy, narrow and turning road","Road Widening and installation of Radar
for checking speed limit of vehicles.",25.5216746,81.8666783
